名称,営業日,住所,アクセス
炭火焼ホルモン ぐう 渋谷,月～金: 17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）土、日、祝日: 15:30～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）,東京都渋谷区渋谷３-27-11 GEMS渋谷9F,ＪＲ渋谷駅新南口より徒歩約1分
しぶ谷やました,月～土: 11:30～14:0017:00～23:00,東京都渋谷区道玄坂２-２９-１８　清水ビル６F,JR渋谷駅から徒歩5分、東京メトロ渋谷駅3a出口 徒歩1分
アウトバックステーキハウス 渋谷店,月、火: 17:00～22:00 （料理L.O. 21:00 ドリンクL.O. 21:00）水、木: 17:00～22:30 （料理L.O. 21:30 ドリンクL.O. 21:30）金: 17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）土: 12:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）日、祝日: 12:00～22:00 （料理L.O. 21:00 ドリンクL.O. 21:00）祝前日: 17:00～22:30 （料理L.O. 20:30 ドリンクL.O. 21:30）,東京都渋谷区宇田川町３４－１,JR・東急・京王・東京メトロ　渋谷駅・ハチ公口から徒歩5分
南国亭 渋谷駅前店,月～土: 11:00～14:30 （料理L.O. 14:30 ドリンクL.O. 14:30）17:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）日: 11:00～14:30 （料理L.O. 14:30 ドリンクL.O. 14:30）17:00～22:30 （料理L.O. 22:30 ドリンクL.O. 22:30）,東京都渋谷区渋谷３-6-16,渋谷駅徒歩3分。渋谷駅東口より渋谷警察署方面へ歩道橋で渡り警察署を背に直進しＱＢハウス前右折、突きあたりを左折
カルニセリア CARNICERIA,月～木: 11:30～16:00 （料理L.O. 15:00 ドリンクL.O. 15:00）17:00～22:00 （料理L.O. 21:00 ドリンクL.O. 21:30）金: 11:30～16:00 （料理L.O. 15:00 ドリンクL.O. 15:00）17:00～22:30 （料理L.O. 21:30 ドリンクL.O. 22:00）土、祝前日: 11:30～22:30 （料理L.O. 21:30 ドリンクL.O. 22:00）日: 11:30～22:00 （料理L.O. 21:00 ドリンクL.O. 21:30）,東京都渋谷区宇田川町15-1 PARCO B1F,渋谷駅から徒歩10分/渋谷PARCOのB1Fにございます。
うーみや 渋谷道玄坂店,月～日、祝日、祝前日: 16:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:20）,東京都渋谷区道玄坂２-28-1椎津ビルB1F,JR渋谷駅 徒歩5分
長崎飯店 渋谷店,月～金、祝前日: 11:00～14:3017:00～22:00 （料理L.O. 21:30 ドリンクL.O. 21:30）土: 11:00～14:30,東京都渋谷区道玄坂２‐１０‐１２新大宗ビル３号館,JR渋谷駅徒歩3分／京王井の頭線渋谷駅西口徒歩2分／東急東横線渋谷駅徒歩4分／地下鉄半蔵門線渋谷駅徒歩4分
バーボンストリート 渋谷,月～金: 17:00～翌4:00 （料理L.O. 翌3:00 ドリンクL.O. 翌3:00）土、日: 13:00～翌4:00 （料理L.O. 翌3:00 ドリンクL.O. 翌3:00）,東京都渋谷区桜丘町１６－９　ＤＫ渋谷Ｂ１,ＪＲ渋谷駅 西口 徒歩2分/東急東横線 渋谷駅 徒歩2分/地下鉄銀座線 渋谷駅 徒歩2分/京王井の頭線 渋谷駅 徒歩2分
フリーマンカフェ 渋谷メトロプラザ,月～日、祝日、祝前日: 09:00～23:00 （料理L.O. 21:45 ドリンクL.O. 22:00）,東京都渋谷区渋谷１-16-14 メトロプラザ2F,東京メトロ，東急渋谷駅Ｂ１出口より徒歩約0分
moon walk ムーンウォーク 渋谷宮益坂店,月～日: 18:00～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）,東京都渋谷区渋谷１-9-8　センスビル9F,[250円バー ムーンウォーク 渋谷宮益坂店がリニューアルしてオープン!!]JR 渋谷駅から徒歩５分/各線地下鉄渋谷駅徒歩5分
